Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
712,[34.30215540268121],[47.75339185182987],[59.0726017050993],[74.3711809163531],[91.33514434227064],[101.27756915477892],[95.9722924925479],[74.12396011489949],[85.30152602903229],[94.47688311268246],[107.7540152290201],[122.81194834564985],[130.95716978387225],[123.95730308663201]
713,[22.867355433818126],[39.23277259421541],[48.522839497781625],[58.809810539037485],[69.35102046514976],[72.85761969357839],[62.33033358995582],[37.391599898074695],[50.67809990021258],[57.541932880833514],[65.91699439472218],[74.95159030218284],[77.27095458632868],[65.80810914535994]
714,[20.50746931466432],[30.539979006994532],[44.517447706940125],[62.42152314855859],[76.77915439005525],[78.84323819685918],[65.6645927653118],[42.73829042348114],[50.03617729129334],[61.61541029141463],[77.41625803364258],[89.92938051571764],[90.3758493754719],[75.778572504224]
715,[3.4391243722273828],[11.354812328417635],[18.286310571182025],[26.39393208975626],[31.46167680359349],[29.06975787430816],[19.28385050929514],[7.223585966435035],[13.073035506544937],[19.06641913256168],[26.748117375628794],[31.622484187256543],[29.14276772444028],[19.316998478591646]
716,[3.290182382343694],[21.856857419092197],[36.637491354053445],[54.33098799114654],[65.98759432285502],[61.40151684911473],[40.09621327834361],[13.106264199409786],[26.089591804942035],[38.462663629004034],[55.11800969616654],[66.32696128162023],[61.54785326139782],[40.1593141342366]
718,[12.949227222084929],[64.01886193732022],[79.24818083724794],[104.86515580832489],[111.65411039403014],[88.8138298126385],[47.589090460450976],[13.085170529438173],[64.01034490947416],[79.2487144402972],[104.86512237738873],[111.65411248852247],[88.8138296814158],[47.589090468672254]
719,[15.73446204750752],[86.79338096432477],[91.09014396793177],[121.20649749871721],[123.58034216731511],[96.35439114813482],[52.4665086538605],[19.223922440973382],[85.94473280570291],[91.29653797042019],[121.15630180356321],[123.59254992423446],[96.35142218180125],[52.467230716164664]
720,[20.895944304566385],[95.9617174829799],[109.86569543946307],[139.40393899671298],[147.69592418933308],[120.38607842112863],[69.50979224352912],[24.875232208255213],[95.70687705824446],[109.88201585750046],[139.40289380914044],[147.6959911249385],[120.38607413445763],[69.50979251805488]
721,[6.665519801852511],[49.59785841246554],[63.56833545026766],[82.37015291905522],[90.3626074036176],[75.39668715959974],[42.13976497221927],[8.984832600229353],[49.833253704234394],[63.59222655431612],[82.37257771204222],[90.36285350446828],[75.39671213724897],[42.13976750728958]
722,[0.31166913784081274],[9.09204878728299],[11.785702476767206],[14.532337382038717],[18.01056064093766],[19.34453243557828],[15.609003334059551],[6.774203030399782],[12.672529706777278],[13.769420292100223],[15.631389844361404],[18.619476034851576],[19.681893907988574],[15.795913969271595]
723,[1.4200665075810004],[4.3041019257199915],[5.927084150608305],[6.681487194748305],[6.749163677110668],[6.152813125456975],[4.886243341687935],[3.034280384485296],[5.5665908662330565],[6.91448634539956],[7.453741955160202],[7.353149994059169],[6.62519541399922],[5.2556971194751485]
726,[0.2842101562973971],[5.3407790312379335],[7.494115376313481],[7.93945720927111],[7.921642025761072],[7.958271494918354],[7.58965360920695],[5.846527561719079],[10.18089239022914],[11.705794721517828],[11.604297594438862],[11.110644309149496],[10.733217875834498],[10.004304566677492]
727,[0.4315196191786317],[3.983090822068018],[5.47021651162879],[5.645206731693931],[5.255388874593064],[4.712650029458083],[3.9612339041694575],[2.656054951227667],[5.687259569033401],[6.775743592405022],[6.645342992657021],[6.021571786630778],[5.299606304929287],[4.410888502180212]
767,[-0.3144399506919715],[2.0305923615832717],[3.0997305678757847],[3.346398237029189],[3.199961349186081],[2.886692259918574],[2.3713104186603617],[1.4703771083794575],[3.415152965774269],[4.173794745453225],[4.179596765185465],[3.8463098652380756],[3.3880930546692083],[2.760268930566877]
768,[0.43983621156049235],[2.950471156349714],[3.1962446175826327],[2.5586076667357065],[1.8386088543395815],[1.3541025511585087],[1.0069709610157234],[0.49119642083957205],[2.972951631778626],[3.20608437062499],[2.562914548066608],[1.8404939856755633],[1.3549276772487964],[1.0073321205020034]
771,[0.5257018128735784],[2.199558948353977],[2.792061523978966],[2.8818603826018228],[2.7192218697244543],[2.3312221339314285],[1.6730297535959913],[0.7620260742152734],[2.3377171298012804],[2.872830561370466],[2.929078993420306],[2.7468264726717466],[2.3473601373726347],[1.682464236517758]
772,[0.10982842746174581],[2.6996492303915396],[3.7584826511630904],[3.928879940003907],[3.5834400032096587],[2.9280058023407034],[2.07357729673843],[1.0868980958373875],[3.277372992030391],[4.1000803443112375],[4.130860526076945],[3.7028674992633723],[2.998621137660614],[2.1153308773385016]
773,[-0.29524743779025986],[2.3163278240877467],[3.389621511443024],[3.6942972928164384],[3.40450013251979],[2.59690007617335],[1.4850299839623027],[0.3940740151924276],[2.636318713001083],[3.5381649356241347],[3.763252846339793],[3.4365100877764756],[2.611759462882326],[1.4919278809320518]
774,[2.211171448429419],[4.047528452556214],[4.876864062437166],[4.912655412831451],[4.565036931383671],[4.175974078905581],[3.8009376237928536],[3.202012675107664],[4.929588263808271],[5.662085235797431],[5.6116695649648145],[5.187308466410838],[4.729928333083812],[4.294074941585742]
775,[0.9859174790921088],[6.386262478339065],[8.904845711955284],[9.976307242669494],[10.348720341247265],[9.960698982103281],[8.318843678967864],[5.118377244912387],[9.49409382601048],[11.242101543326198],[11.73404896355483],[11.670636374516377],[10.954850727067146],[9.066499102717078]
776,[-0.1923450023183637],[4.694395536541107],[6.461440145348452],[6.62360966639849],[6.123970996219905],[5.303736481489666],[4.06559770440852],[2.2067322735265935],[6.177039317374628],[7.377722669040856],[7.189877622381907],[6.473927903268021],[5.520011895799478],[4.199257174739962]
801,[17.528720517218517],[528.5079178221863],[737.7014378069754],[815.9869104924536],[812.6992985338372],[713.0969032395519],[503.40845332503625],[211.96110877998035],[639.3652705923798],[800.9077419264667],[852.0245460720015],[833.246476481611],[724.8120592099142],[510.0879535346885]
803,[23.1157615252435],[109.94962706217996],[155.24275478041687],[184.65638839684473],[200.1562009777053],[190.82525236125002],[149.13915921491312],[81.90942506093899],[148.4713310958694],[180.4822379563246],[201.19333885027766],[210.99123782823543],[197.92438613944762],[153.79052322003693]
804,[60.40278150548909],[295.7427349042472],[427.3726873585173],[527.8066636113732],[563.2459126262365],[486.4547631365093],[304.7320145816873],[89.98604974571191],[309.95942386124824],[434.20473320480113],[531.0899070295065],[564.8237251270966],[487.2130049025998],[305.09639918095405]
805,[48.34919378539212],[424.6688988360805],[545.402139693744],[618.1602609765682],[603.240925396392],[468.3493327285214],[259.4105795847634],[75.60202548253142],[430.3047843986813],[546.5676408213961],[618.4012866083825],[603.2907694967649],[468.3596404884193],[259.4127112294981]
821,[65.02194098455584],[343.3629059362861],[483.3743535680495],[596.8042258031646],[633.1458659641036],[531.9329339770804],[310.90519085907357],[68.55740306871496],[344.68205200025875],[483.86655127705376],[596.9878738398494],[633.2143884313177],[531.9585009725021],[310.91473037627816]
822,[58.95071338560808],[385.03082849711666],[528.6071317266966],[631.599111317782],[637.5057115567416],[505.8775239055492],[285.6150067538639],[88.8196969520078],[392.47332700495764],[530.4615900116958],[632.061189412548],[637.6208482343309],[505.9062126806208],[285.62215517808755]
823,[67.81861408191168],[392.45149685177887],[497.6088116647526],[579.4094031914152],[580.6451477747787],[458.7234192715582],[255.96362416748246],[74.22723029470654],[393.54086499221097],[497.7939878254063],[579.4408803470266],[580.6504984166858],[458.72432880001656],[255.96377877360842]
824,[42.26301608105399],[285.7548432934506],[364.51064694892585],[424.2197200052175],[412.90085530150594],[312.3567210530036],[169.74763371186808],[63.73954777532964],[287.7505799151792],[364.6961035543036],[424.2369538185893],[412.902456777618],[312.3568698724019],[169.74764754111794]
825,[53.27735899785114],[291.4669779934259],[378.976323111171],[433.6939896378025],[424.7496382456846],[329.1030247163933],[179.72780420917474],[47.911708358825024],[290.22623350572104],[378.6894153366369],[433.62764554205694],[424.7342969429003],[329.0994772180293],[179.72698389131648]
826,[67.69534879067288],[234.35263038622492],[398.8023350369743],[548.0505054345335],[580.4815327267197],[453.9237963524626],[237.79816828736352],[66.65495023215652],[234.05609476833826],[398.717816107228],[548.026415750008],[580.4746666565709],[453.9218393770926],[237.7976105079474]
827,[47.592440635335095],[249.4375373094171],[369.4237231750599],[466.9790193969512],[491.5164170851638],[405.2630593217695],[239.86110100030922],[81.89690564808427],[260.8366322245987],[373.2115497695579],[468.2376833888509],[491.9346608999166],[405.40203834214725],[239.90728259923276]
828,[47.72035766195978],[171.70896737772802],[271.3100519010947],[354.733445825565],[368.6582581691708],[290.58848879830134],[161.02575200785435],[57.41556549758178],[174.53796944917366],[272.1355373219269],[354.9743173989316],[368.7285430141746],[290.6089974841881],[161.03173631637463]
829,[50.41887677809589],[170.49491913050224],[287.4429217944508],[398.8377415810476],[430.83598480967703],[343.5671825633941],[178.1568369465208],[31.56281419942499],[164.05633514752142],[285.2444053473963],[398.0870369881207],[430.57964950384087],[343.4796544069965],[178.12694961540433]
851,[40.33240510213372],[142.20868121407437],[203.93466623953682],[262.3235170472888],[288.56264982565176],[252.17668370785515],[160.0245677559619],[57.22826962672468],[148.6240253917789],[206.37056650723287],[263.2484261324136],[288.9138369522723],[252.31002913594912],[160.0751988920308]
852,[57.08537538910315],[321.84488838706625],[454.1243732908595],[552.3970426858587],[557.4756969198252],[437.0042025783236],[242.91622979341247],[80.15538870859478],[327.30132288644785],[455.4149090627174],[552.7022754488714],[557.5478894476482],[437.0212772888561],[242.92026824099923]
853,[50.2963972309297],[346.7771070664314],[469.3005854124963],[581.1582270561295],[596.0743350196851],[467.1485656780237],[251.40765338666841],[70.67905006493118],[349.43759480225117],[469.6478510530433],[581.2035546189973],[596.0802514931729],[467.1493379379097],[251.40775418748038]
854,[45.871825969034546],[330.7988715865452],[454.269520355385],[548.187005092655],[556.9054488053149],[440.11859644407315],[240.66950855769625],[61.00464661639188],[334.319974464255],[455.088810147046],[548.3776373422746],[556.949805094097],[440.12891725998145],[240.67191000389334]
