Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
41,[370.91579403979097],[831.0912447492908],[1043.9719402073922],[1182.522116349373],[1236.5021012210518],[1128.0250087481452],[829.4247592194431],[416.60523882496625],[856.1790483824989],[1057.7475046533543],[1190.0861972302382],[1240.6554932505917],[1130.305611721956],[830.6770248103535]
42,[703.4565771916469],[1313.7967423577938],[1562.7332829976401],[1644.6487447308941],[1677.25061505671],[1653.1364734077035],[1477.5863425859302],[1065.7091042708944],[1604.113710366098],[1795.399546482661],[1831.1124934241248],[1826.6866744833947],[1772.8977461133954],[1573.565602846897]
43,[269.7356327185787],[711.1539819887932],[832.7631281928573],[851.0595905624662],[833.017982692193],[756.4638180746183],[583.565155158666],[318.43056777153333],[736.1126415455543],[845.5557253324339],[857.6164547723943],[836.3787129487903],[758.1863652398481],[584.4480492054632]
44,[1168.3254785479244],[3690.421377531038],[3593.8739699403595],[3154.856555488164],[2932.1021547322725],[2759.8014347882013],[2274.433158384444],[1302.8055585994684],[3728.6613063609666],[3604.747641017574],[3157.9485257483943],[2932.981368387188],[2760.0514425780343],[2274.5042490626065]
45,[719.5998659197619],[1037.1899191387993],[1187.679698021438],[1234.456631867613],[1258.471216715729],[1298.6814573555102],[1324.0860496017985],[1258.4066387283397],[1563.5194387413876],[1701.8209025966623],[1736.6917685965138],[1749.0759967264946],[1777.9252070801222],[1792.2318586276842]
46,[-6.273179275543896],[223.72371590980697],[376.15315681402296],[484.7529273183095],[556.0974148014085],[571.001541039905],[504.65096446188744],[350.3709816851474],[542.7013071112744],[661.4422904272461],[739.9115716958618],[784.3077674917309],[775.1097153958553],[687.2024847930056]
47,[263.22468507969006],[1371.1547568011902],[1442.9899419194833],[1403.2912373164288],[1334.0657374456641],[1140.1355416541378],[777.3069588014204],[319.33235640962585],[1383.2307995477574],[1445.5890661561562],[1403.8506462999371],[1334.1861389279843],[1140.1614556408135],[777.3125362635287]
48,[129.94658237164006],[252.84776724446562],[330.5171408695732],[366.93112106639643],[378.43014371688565],[381.48326605557696],[380.35565878211617],[363.96561792371386],[485.99984504976305],[562.8054726998757],[598.3589067950071],[609.0005713627088],[611.1995118270347],[609.2208871209017]
49,[474.44477294105604],[1754.5578067851598],[2195.9854017146254],[2250.5793370255506],[2173.8707593371855],[1996.8310164990955],[1611.450428415588],[924.3054132435593],[2052.9491931711614],[2393.9076280500694],[2381.8606322131536],[2260.949299151732],[2054.5899842591084],[1649.761800698669]
50,[860.9554183474429],[3107.671434829141],[3370.5915200076247],[3085.1845598463474],[2752.996965866596],[2379.863969853784],[1793.1499173727289],[898.5394610924809],[3122.487621491797],[3376.432280372651],[3087.4870741449586],[2753.9046511274155],[2380.2217928359064],[1793.2909764953802]
