Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
342,[1.0],[364.0],[373.0],[355.0],[302.0],[228.0],[5.0],[1.0],[472.0],[420.0],[390.0],[346.0],[302.0],[49.0]
343,[1.0],[736.0],[842.0],[822.0],[739.0],[591.0],[236.0],[1.0],[930.0],[838.0],[798.0],[740.0],[641.0],[323.0]
344,[1.0],[980.0],[1136.0],[1150.0],[1083.0],[940.0],[232.0],[1.0],[1149.0],[1137.0],[1108.0],[1050.0],[954.0],[340.0]
345,[1.0],[258.0],[271.0],[260.0],[216.0],[174.0],[3.0],[1.0],[327.0],[292.0],[282.0],[254.0],[229.0],[40.0]
346,[1.0],[579.0],[632.0],[621.0],[554.0],[443.0],[188.0],[1.0],[671.0],[575.0],[573.0],[535.0],[475.0],[234.0]
347,[1.0],[507.0],[498.0],[468.0],[406.0],[330.0],[23.0],[1.0],[579.0],[528.0],[525.0],[492.0],[436.0],[85.0]
348,[1.0],[919.0],[1030.0],[997.0],[893.0],[721.0],[275.0],[1.0],[1082.0],[975.0],[917.0],[857.0],[748.0],[370.0]
349,[1.0],[574.0],[529.0],[477.0],[400.0],[323.0],[42.0],[1.0],[594.0],[467.0],[445.0],[414.0],[378.0],[94.0]
350,[1.0],[874.0],[1004.0],[981.0],[883.0],[714.0],[268.0],[1.0],[1063.0],[1015.0],[975.0],[909.0],[788.0],[372.0]
351,[1.0],[427.0],[418.0],[396.0],[344.0],[282.0],[67.0],[1.0],[465.0],[383.0],[376.0],[347.0],[320.0],[110.0]
300,[1.0],[9.0],[8.0],[7.0],[9.0],[2.0],[1.0],[1.0],[7.0],[9.0],[8.0],[7.0],[4.0],[1.0]
301,[3.0],[2.0],[1.0],[0.0],[0.0],[1.0],[1.0],[2.0],[1.0],[3.0],[3.0],[1.0],[1.0],[1.0]
303,[1.0],[106.0],[119.0],[90.0],[66.0],[38.0],[1.0],[1.0],[19.0],[87.0],[84.0],[67.0],[55.0],[0.0]
305,[2.0],[3.0],[1.0],[0.0],[0.0],[1.0],[1.0],[2.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
315,[1.0],[341.0],[418.0],[395.0],[304.0],[102.0],[1.0],[1.0],[219.0],[361.0],[349.0],[282.0],[181.0],[1.0]
316,[1.0],[85.0],[133.0],[117.0],[82.0],[62.0],[0.0],[1.0],[62.0],[114.0],[110.0],[84.0],[77.0],[2.0]
302,[2.0],[1.0],[1.0],[0.0],[0.0],[1.0],[1.0],[2.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
99,[2.0],[1.0],[1.0],[0.0],[0.0],[1.0],[1.0],[2.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
304,[2.0],[1.0],[1.0],[0.0],[0.0],[1.0],[1.0],[2.0],[1.0],[1.0],[1.0],[1.0],[1.0],[1.0]
